route_id,route_short_name,route_long_name,route_type,route_url
9154,56,Tacony To Nicetown,3,
9155,57,South Phila to Fern Rock Trans Cent,3,
9156,58,Somerton & Neshaminy Mall to FTC,3,
9157,59,Bells Corner to Arrot Terminal,3,
9158,6,West Oak Lane To Olney Transit Ctr,3,
9159,60,Port Richmond To East Falls,3,
9160,61,Roxborough & Manayunk to Center Cty,3,
9162,62,"Andorra, Rox & Manayunk to Cntr/Cty",3,
9163,64,Parkside to Pier 70 via Washington,3,
9164,65,69th Street Terminal To Germantown,3,
9165,66,Morrell Park to FTC via Frankford,3,
9166,67,Frank Mills Mall & Bustleton to FTC,3,
9167,68,South Phila to UPS ,3,
9168,7,Strawberry Mansion to Pier 70,3,
9169,70,Torresdale & Tacony to FRTC ,3,
9170,71,Pattison Station to The Navy Yard,3,
9171,73,Port Richmond to FTC via Bridge,3,
9172,75,Nicetown to Arrott Terminal ,3,
9173,77,Chestnut Hill/Jenkintown to NE Phil,3,
9174,78,Cornwells Hts Exp,3,
9175,79,South Phila Crosstown via Snyder Av,3,
9176,8,Olney Tranportation Center to FTC,3,
9177,80,Olney Transit Center to Horsham,3,
9178,84,Somerton & Frankl Mills Mall to FTC,3,
9179,88,Bethayres & Pennypack Woods to FTC,3,
9181,89,Arrott Terminal to Kensington,3,
9182,9,Andorra To Ctr. City & Indepen Mall,3,
8893,90,Norristown TC to Plymouth Mtg Mall,3,
8894,91,Norristown TC to Graterford,3,
8895,92,King of Prussia to West Chester,3,
9038,93,Norristown TC to Pottstown,3,
8897,94,Chestnut Hill to Montgomery Mall,3,
8898,95,Plymouth Mtg Mall to Swedeland,3,
8899,96,Norristown TC to Lansdale,3,
9099,97,Norristown TC to Chestnut Hill ,3,
8901,98,Norristown TC to Willow Grove,3,
8902,99,Norristown TC to Phoenixville,3,
9185,BSO,Midnight-5am Service (Bus) for BSL,3,
9209,BSS,Broad Street Line,1,
9186,C,Centr City & Sou Phil to FRTC&WOakL,3,
9187,G,South Phila to Overbrook & Lank MC,3,
9189,HXH,West Oak Lane to Tioga,3,
9190,J,Bridesburg to Germantown,3,
9191,K,East Falls to Arrott Terminal,3,
9194,L,Plymth Meeting Mall/Erdenhm  to OTC,3,
9267,LUCYGO,LUCY Gold Loop,3,
9268,LUCYGR,LUCY Green Loop      ,3,
9210,MFL,Market - Frankford Line          ,1,
9196,MFO,Midnight-5am Service (Bus) for MFL,3,
9234,NHSL,69th St Term to Norristown TC,0,
9197,R,Wissahickon Transit Cntr to FTC,3,
